Symptom,Disease
cellulitis,agammaglobulinemia 4;omodysplasia 1;facial dermatosis;odontoclasia;maxillary sinusitis;dacryocystitis;balantidiasis;Bartter disease;dentin dysplasia;vein disease;agammaglobulinemia;Danon disease;eye disease;acute dacryocystitis;mite infestation;frontonasal dysplasia;macroglobulinemia;rosacea conjunctivitis;agammaglobulinemia 3;chronic conjunctivitis;omodysplasia 2;acrodermatitis;sinusitis;irritant dermatitis;osteomyelitis;axillary adenitis;refractory T lymphoblastic leukemia/lymphoma;Lyme disease;agammaglobulinemia 8A;venous insufficiency;Ludwig's angina;chronic maxillary sinusitis;impetigo;acute conjunctivitis;eyelid disease;mastitis;scalp dermatosis;nose disease;X-linked agammaglobulinemia;pituitary gland disease;agammaglobulinemia 8B;Castleman disease;skin disease;neurodermatitis;Coats disease;candidiasis;acute cystitis;orbital cellulitis;lymphedema;agammaglobulinemia 6;bone disease;mastoiditis;myiasis;herpes zoster;anisakiasis;keratitis;chronic dacryocystitis;gastritis;lacrimal duct obstruction;conjunctivitis;tick infestation;dermatomyositis;keratoconjunctivitis;loiasis;agammaglobulinemia 1;tongue disease;folliculitis;appendicitis;omodysplasia;agammaglobulinemia 5;liver disease;myelitis;chronic cystitis;vernal conjunctivitis;diabetes mellitus;dermatitis;cellulitis;blepharoconjunctivitis;dysgammaglobulinemia;Tangier disease;tendinitis;agammaglobulinemia 7;kidney disease;Ollier disease;aortitis;cholecystitis;hepatitis;cystitis;dengue disease;agammaglobulinemia 2;chronic venous insufficiency;Norrie disease;agammaglobulinemia 10;lice infestation;astigmatism;angiodysplasia;exanthem;adenocarcinoma in situ;acute maxillary sinusitis;cartilage disease;oral candidiasis;agammaglobulinemia 9
abdominal cramp,colitis;inflammatory bowel disease 13;inflammatory bowel disease;inflammatory bowel disease 24;acute cholangitis;cholelithiasis;intussusception;monogenic disease;inflammatory bowel disease 25;pericholangitis;kidney disease;inflammatory bowel disease 1;inflammatory bowel disease 2;inflammatory bowel disease 17;vesiculitis;choledocholithiasis;elephantiasis;inflammatory bowel disease 26;inflammatory bowel disease 7;intestinal obstruction;Meckel's diverticulitis;irritable bowel syndrome;urethral calculus;intestinal volvulus;cholecystitis;Meckel's diverticulum cancer;gastrointestinal carcinoma;inflammatory bowel disease 10;gastrointestinal adenoma;inflammatory bowel disease 18;colonic disease;intestinal disease;diverticulitis;pharyngitis;bladder disease;inflammatory bowel disease 15;inflammatory bowel disease 19;cholecystolithiasis;inflammatory bowel disease 6;stomach disease;bile duct disease;Norrie disease;inflammatory bowel disease 22;inflammatory bowel disease 23;inflammatory bowel disease 8;inflammatory bowel disease 12;inflammatory bowel disease 27;gastrointestinal system disease;inflammatory bowel disease 30;Meckel's diverticulum;inflammatory bowel disease 29;inflammatory bowel disease 16;intestinal pseudo-obstruction;inflammatory bowel disease 9;inflammatory bowel disease 5;inflammatory bowel disease 28;Caroli disease;polygenic disease;duodenal obstruction;nose disease;inflammatory bowel disease 20;ureteral obstruction;intestinal botulism;inflammatory bowel disease 11;gallbladder disease;inflammatory bowel disease 3;inflammatory bowel disease 4;intestinal impaction;gastrointestinal system cancer;cholangitis;ileitis;myotonic disease;inflammatory bowel disease 14;laryngitis;inflammatory bowel disease 21
abdominal distention,choreatic disease;acute cholangitis;parotid disease;Loeys-Dietz syndrome 3;aortic valve disease 1;lip disease;pericholangitis;COVID-19;celiac disease;thrombocytosis;thrombosis;neuroendocrine tumor;colon carcinoma;choriocarcinoma;angiosarcoma;eating disorder;Ollier disease;intestinal obstruction;vascular disease;irritable bowel syndrome;gastrointestinal adenoma;muscular disease;lung carcinoma;papilloma;lichen disease;adenocarcinoma;aortic disease;intestinal disease;pharyngitis;bicuspid aortic valve disease;craniosynostosis 7;oligohydramnios;pulp degeneration;anal neuroendocrine tumor;Loeys-Dietz syndrome 4;heart valve disease;biliary tract benign neoplasm;cholangiolocellular carcinoma;colon adenocarcinoma;craniosynostosis;mixed connective tissue disease;aortic valve disease 3;gastroschisis;Hirschsprung's disease;aortic valve disease 2;gastrointestinal system disease;hilar lung carcinoma;Loeys-Dietz syndrome;coronary aneurysm;gastric dilatation;vascular skin disease;polyhydramnios;intestinal pseudo-obstruction;aortic valve disease;connective tissue disease;eyelid disease;liver disease;Caroli disease;duodenal obstruction;Loeys-Dietz syndrome 2;cholangiocarcinoma;choledochal cyst;Loeys-Dietz syndrome 1;Loeys-Dietz syndrome 5;ureteral obstruction;tricuspid valve disease;testicular disease;intestinal impaction;gastrointestinal system cancer;cholangitis;superior mesenteric artery syndrome;laryngitis
ataxia,spinocerebellar ataxia type 38;hypogonadism;dystonia 12;cerebellar ataxia type 47;spinocerebellar ataxia type 14;dysthymic disorder;spinocerebellar ataxia type 10;ocular motility disease;spinocerebellar ataxia type 40;spinocerebellar ataxia type 8;fragile X syndrome;cerebellar ataxia type 41;spinocerebellar ataxia 45;encephalomyelitis;dystonia 23;cerebellar ataxia type 42;spinocerebellar ataxia type 25;spinocerebellar ataxia type 7;spinocerebellar ataxia type 20;X-linked spinocerebellar ataxia 5;Cytomegalovirus retinitis;Fraser syndrome;Machado-Joseph disease;Mahvash Disease;nephritis;ornithine carbamoyltransferase deficiency;tic disorder;spinocerebellar ataxia type 11;spinocerebellar ataxia type 34;spinocerebellar ataxia 46;cerebellar ataxia;viral encephalitis;X-linked spinocerebellar ataxia 1;cerebellar disease;dystonia 33;spinocerebellar ataxia type 31;spinocerebellar ataxia type 15;spinocerebellar ataxia type 26;primary cerebellar degeneration;ataxia telangiectasia;spinocerebellar ataxia type 29;carnitine palmitoyltransferase II deficiency;dystonia 9;spinocerebellar ataxia type 21;spinocerebellar ataxia type 13;dystonia 24;spinocerebellar ataxia type 18;Friedreich ataxia 2;spinocerebellar ataxia type 35;central nervous system disease;CADASIL;dystonia 30;nervous system disease;spinocerebellar ataxia type 36;COVID-19;telangiectasis;spinocerebellar ataxia 44;Frasier syndrome;spinocerebellar ataxia type 27;cerebellar ataxia type 43;carnitine palmitoyltransferase I deficiency;dystonia 32;Alagille syndrome;spinocerebellar ataxia type 2;spinocerebellar ataxia type 6;X-linked spinocerebellar ataxia 2;spinocerebellar ataxia type 19/22;Friedreich ataxia;dystonia 25;retinal telangiectasia;cerebral degeneration;spinocerebellar ataxia type 12;dystonia 21;human cytomegalovirus infection;CADASIL 1;dystonia 5;spinocerebellar ataxia type 1;autism spectrum disorder;Friedreich ataxia 1;dystonia;dystonia 27;spinocerebellar ataxia type 30;spinocerebellar ataxia type 17;eye degenerative disease;spinocerebellar ataxia type 37;spinocerebellar ataxia type 4;cerebellar ataxia type 48;neurodegenerative disease;CADASIL 2;X-linked cerebellar ataxia;spinocerebellar ataxia type 5;X-linked spinocerebellar ataxia 3;spinocerebellar ataxia type 28;degenerative disc disease;encephalitis;dystonia 16;X-linked spinocerebellar ataxia 4;dystonia 31;cerebellar ataxia type 9;spinocerebellar ataxia type 23
backache,arthritis;GNE myopathy;cerebral degeneration;radiculopathy;COVID-19;periarthritis;spinal stenosis;myopathy;polyradiculopathy;tauopathy;urethritis;nocardiosis
bleeding,intracranial berry aneurysm 1;purpura;brain edema;axonal neuropathy;penile disease;intracranial aneurysm;myositis;intracranial berry aneurysm 3;pulmonary artery disease;endometritis;hemophilia B;intracranial embolism;teratoma;extracranial neuroblastoma;intracranial berry aneurysm 8;intracranial berry aneurysm 10;renal artery disease;stomach disease;femoral neuropathy;pica disease;hypertension;intracranial berry aneurysm 2;endometriosis;gastrointestinal allergy;gastrointestinal tularemia;intracranial berry aneurysm;cervix endometriosis;intracranial berry aneurysm 6;intracranial berry aneurysm 5;intracranial berry aneurysm 12;morbid obesity;coronary artery disease;lens disease;pedophilia;polygenic disease;intracranial berry aneurysm 4;cystitis;radial neuropathy;COVID-19;splenic disease;carotid stenosis;gastrointestinal lymphoma;peroneal neuropathy;intracranial berry aneurysm 11;obesity;intracranial berry aneurysm 9;blood coagulation disease;gastrointestinal adenoma;renal hypertension;mastitis;intracranial berry aneurysm 7
blindness,retinitis pigmentosa 26;borna disease;Char syndrome;cataract 41;retinitis pigmentosa 14;retinitis pigmentosa 68;retinitis pigmentosa 61;type 1 diabetes mellitus;myocardial infarction;myopia;Wolfram syndrome 2;apical myocardial infarction;cataract 35;Brunner Syndrome;diabetes mellitus;retinitis pigmentosa 73;cataract 33;encephalitis;retinitis pigmentosa 28;retinitis pigmentosa 6;uveitis;cataract 47;cataract 18;cataract 38;spinal disease;inferior myocardial infarction;Fraser syndrome;retinitis pigmentosa 87;retinitis pigmentosa 49;dermatitis;diabetic neuropathy;retinitis pigmentosa 9;carpal tunnel syndrome 1;retinitis pigmentosa 27;retinitis pigmentosa 38;carpal tunnel syndrome 2;retinitis pigmentosa Y-linked;posterior myocardial infarction;retinitis pigmentosa 19;ocular tuberculosis;retinitis pigmentosa 44;retinitis pigmentosa 77;retinitis pigmentosa 2;retinitis pigmentosa 11;retinitis pigmentosa 7;blindness;Usher syndrome type 1;Wolfram syndrome;cataract 43;retinitis pigmentosa 47;Behr syndrome;ureter tuberculosis;Usher syndrome type 3;retinitis pigmentosa 89;retinitis pigmentosa 69;meningoencephalitis;retinitis pigmentosa 17;retinitis pigmentosa 74;glaucoma;retinitis pigmentosa 10;diabetic angiopathy;ileitis;corneal disease;cataract 28;cataract 40;retinitis pigmentosa 42;retinitis pigmentosa 54;retinitis pigmentosa 75;tarsal tunnel syndrome;retinitis pigmentosa 63;retinitis pigmentosa 37;retinitis pigmentosa 85;retinitis pigmentosa 56;retinitis pigmentosa 4;retinitis pigmentosa 72;retinitis pigmentosa 83;retinitis pigmentosa 55;cataract 45;retinitis pigmentosa 43;autoimmune disease;diabetic retinopathy;septal myocardial infarction;retinitis pigmentosa 51;cataract 29;retinitis pigmentosa;retinitis pigmentosa 71;bladder tuberculosis;retinitis pigmentosa 39;retinitis pigmentosa 31;retinitis pigmentosa 36;retinitis pigmentosa 32;Holt-Oram syndrome;retinal disease;retinitis pigmentosa 13;Kunjin encephalitis;retinitis pigmentosa 18;cataract;retinitis pigmentosa 40;retinitis pigmentosa 46;retinitis pigmentosa 84;lateral myocardial infarction;silent myocardial infarction;retinitis pigmentosa 30;Usher syndrome;retinitis pigmentosa 25;retinitis pigmentosa 34;laryngeal disease;cataract 25;Wolfram syndrome 1;trigeminal neuralgia;Worth syndrome;retinitis pigmentosa 12;retinitis pigmentosa 41;retinitis pigmentosa 60;cataract 23;diabetic encephalopathy;retinitis pigmentosa 67;retinitis pigmentosa 59;carpal tunnel syndrome;cataract 48;retinitis pigmentosa 1;rectal disease;retinitis pigmentosa 48;cataract 24;retinitis pigmentosa 50;acute myocardial infarction;periarthritis;retinitis pigmentosa 24;bone disease;retinitis pigmentosa 81;retinitis pigmentosa 90;cataract 30;retinitis pigmentosa 33;keratitis;retinitis pigmentosa 22;retinitis pigmentosa 57;retinitis pigmentosa 35;cataract 42;retinitis pigmentosa 23;cataract 7;vein disease;retinitis pigmentosa 29;retinitis pigmentosa 86;retinitis pigmentosa 45;cataract 27;cataract 44;retinitis pigmentosa 3;type 2 diabetes mellitus;cataract 36;pseudoretinitis pigmentosa;intestinal disease;retinitis pigmentosa 88;retinitis pigmentosa 62;retinitis pigmentosa 70;retinitis pigmentosa 66;nail disease;retinitis pigmentosa 20;hepatitis;cataract 37;Usher syndrome type 2;retinitis pigmentosa 58
blister,psoriasis 3;Frey syndrome;Felty's syndrome;dermatomyositis;intracranial aneurysm;West syndrome;intracranial berry aneurysm 8;iris disease;psoriasis 12;psoriasis 10;tooth disease;hepatitis B;mitral valve insufficiency;intracranial berry aneurysm 5;dermatitis;ascariasis;FG syndrome;Sweet syndrome;corneal edema;hepatitis D;leprosy;tricuspid valve insufficiency;Scheie syndrome;psoriasis 11;Tukel syndrome;mouth disease;intracranial berry aneurysm 1;epidermolysis bullosa;neurodermatitis;psoriasis 9;Scott syndrome;intracranial berry aneurysm 3;erythema nodosum;psoriasis 8;multiple sclerosis;intracranial embolism;intracranial berry aneurysm 10;aortic dissection;intracranial berry aneurysm 2;Dent disease;corneal disease;herpes simplex;Sengers syndrome;hepatitis A;skin disease;epidermolysis bullosa acquisita;intestinal perforation;intracranial berry aneurysm 6;junctional epidermolysis bullosa;asthma;psoriasis 5;autoimmune disease;dementia;intracranial berry aneurysm 11;intracranial berry aneurysm 9;epidermolysis bullosa dystrophica;psoriasis 7;psoriasis 6;Meige syndrome;psoriasis 4;hepatitis E;Mahvash Disease;Sotos syndrome;extracranial neuroblastoma;vertebral artery insufficiency;pneumothorax;Pendred Syndrome;perinatal intestinal perforation;loiasis;neutropenia;hepatitis C;pemphigus;IgA pemphigus;exanthem;intracranial berry aneurysm 12;Perry syndrome;aortic valve insufficiency;psoriasis;heart disease;epidermolysis bullosa simplex;nose disease;calcinosis;erythema multiforme;leukopenia;Tietz syndrome;mastitis;Coats disease;bone disease;urticaria;retinal perforation;lung disease;Rett syndrome;psoriasis 13;pulmonary emphysema;Keipert syndrome;keratitis;Sheehan syndrome;Reye syndrome;tongue disease;vein disease;psoriasis 15;acrodermatitis;Muenke Syndrome;intracranial berry aneurysm;hand dermatosis;Seckel syndrome;kidney disease;intestinal impaction;psoriasis 2;hemopneumothorax;intracranial berry aneurysm 4;parapsoriasis;chikungunya;psoriasis 1;hepatitis;Sly syndrome;Temtamy syndrome;setariasis;intracranial berry aneurysm 7;gingivitis
blurred vision,cataract 24;cataract 43;cataract 41;cataract 30;cataract;myopia;cataract 35;cataract 33;cataract 42;cataract 7;cataract 47;cataract 27;cataract 44;cataract 28;cataract 18;cataract 40;cataract 36;cataract 25;cataract 38;cataract 23;cataract 45;dry eye syndrome;amblyopia;cataract 48;cataract 37;cataract 29
giddiness,
