# Parsed DOID file.
# Columns are id, name, definition, synonym.
DOID:0001816	angiosarcoma	"A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels." [url:http\://en.wikipedia.org/wiki/Hemangiosarcoma, url:https\://en.wikipedia.org/wiki/Angiosarcoma, url:https\://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&ns=ncit&code=C3088, url:https\://www.ncbi.nlm.nih.gov/pubmed/23327728]	"hemangiosarcoma" EXACT []
DOID:0002116	pterygium	"A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation." [url:https\://en.wikipedia.org/wiki/Pterygium_(conjunctiva)]	"surfer's eye" EXACT []
DOID:0014667	disease of metabolism	"A disease that involving errors in metabolic processes of building or degradation of molecules." [url:http\://www.ncbi.nlm.nih.gov/books/NBK22259/]	"metabolic disease" EXACT []
DOID:0040001	shrimp allergy	"A crustacean allergy that has_allergic_trigger shrimp." [url:https\://www.ncbi.nlm.nih.gov/pubmed/20471069] {comment="IEDB:RV"}	
DOID:0040002	aspirin allergy	"A drug allergy that has_allergic_trigger acetylsalicylic acid." [url:https\://www.ncbi.nlm.nih.gov/pubmed/2468301] {comment="IEDB:RV"}	"ASA allergy" EXACT []
DOID:0040003	benzylpenicillin allergy	"A beta-lactam allergy that has_allergic_trigger benzylpenicillin." [url:https\://www.ncbi.nlm.nih.gov/pubmed/14483916] {comment="IEDB:RV"}	"penicillin G allergy" EXACT []
DOID:0040004	amoxicillin allergy	"A beta-lactam allergy that has_allergic_trigger amoxicillin." [url:https\://www.ncbi.nlm.nih.gov/pubmed/11746950] {comment="IEDB:RV"}	
DOID:0040005	ceftriaxone allergy	"A cephalosporin allergy that has_allergic_trigger ceftriaxone." [url:https\://www.ncbi.nlm.nih.gov/pubmed/12833570] {comment="IEDB:RV"}	"rocephin allergy" EXACT []
DOID:0040006	carbamazepine allergy	"A drug allergy that has_allergic_trigger carbamazepine." [url:https\://www.ncbi.nlm.nih.gov/pubmed/7602118] {comment="IEDB:RV"}	"Tegretol allergy" EXACT []
DOID:0040007	abacavir allergy	"A drug allergy that has_allergic_trigger abacavir." [url:https\://www.ncbi.nlm.nih.gov/pubmed/25674793] {comment="IEDB:RV"}	"ABC allergy" EXACT []
DOID:0040008	isoniazide allergy	"A drug allergy that has_allergic_trigger isoniazide." [url:https\://www.ncbi.nlm.nih.gov/pubmed/445303] {comment="IEDB:RV"}	"isonicotinylhydrazide allergy" EXACT []
DOID:0040009	lidocaine allergy	"A drug allergy that has_allergic_trigger lidocaine." [url:https\://www.ncbi.nlm.nih.gov/pubmed/9013953] {comment="IEDB:RV"}	"xylocaine allergy" EXACT []
DOID:0040010	mepivacaine allergy	"A drug allergy that has_allergic_trigger mepivacaine." [url:https\://www.ncbi.nlm.nih.gov/pubmed/9989796] {comment="IEDB:RV"}	"Polocaine allergy" EXACT []
DOID:0040011	phenobarbital allergy	"A drug allergy that has_allergic_trigger phenobarbital." [url:https\://www.ncbi.nlm.nih.gov/pubmed/11994495] {comment="IEDB:RV"}	"phenobarbitone allergy" EXACT []
DOID:0040012	phenytoin allergy	"A drug allergy that has_allergic_trigger phenytoin." [url:https\://www.ncbi.nlm.nih.gov/pubmed/7602118] {comment="IEDB:RV"}	"Dilantin allergy" EXACT []
DOID:0040013	ranitidine allergy	"A drug allergy that has_allergic_trigger ranitidine." [url:https\://www.ncbi.nlm.nih.gov/pubmed/7782125] {comment="IEDB:RV"}	"Zantac allergy" EXACT []
DOID:0040014	corticosteroid allergy	"A drug allergy that has_allergic_trigger corticosteroid." [url:https\://www.ncbi.nlm.nih.gov/pubmed/2265088] {comment="IEDB:RV"}	
DOID:0040015	sulfonamide allergy	"A drug allergy that has_allergic_trigger sulfonamide." [url:https\://www.ncbi.nlm.nih.gov/pubmed/2434548] {comment="IEDB:RV"}	
DOID:0040016	sulfamethoxazole allergy	"A drug allergy that has_allergic_trigger sulfamethoxazole." [url:https\://www.ncbi.nlm.nih.gov/pubmed/7602118] {comment="IEDB:RV"}	"sulphamethoxazole allergy" EXACT []
DOID:0040017	suprofen allergy	"A drug allergy that has_allergic_trigger suprofen." [url:https\://www.ncbi.nlm.nih.gov/pubmed/509935] {comment="IEDB:RV"}	"Profenal allergy" EXACT []
DOID:0040018	thiopental allergy	"A drug allergy that has_allergic_trigger thiopental." [url:https\://www.ncbi.nlm.nih.gov/pubmed/2215478] {comment="IEDB:RV"}	"pentothiobarbital allergy" EXACT []
